Max_Temp_f,Min_Temp_f
6,-9
1,-15
7,-14
7,-10
10,-9
16,-4
16,4
8,-6
6,-14
15,-6
22,8
22,2
28,19
31,15
28,12
35,15
34,20
34,13
23,13
28,19
30,25
33,28
36,32
35,32
34,16
16,3
11,2
7,-2
9,-5
17,1
16,3
16,8
21,8
21,1
29,19
33,28
28,19
24,15
25,22
26,15
24,3
25,0
25,3
23,10
24,5
30,22
34,17
35,16
37,10
31,7
35,18
31,13
32,14
23,9
20,1
26,3
32,5
38,9
38,16
38,19
42,19
41,20
39,20
42,23
41,24
47,35
37,34
39,33
42,35
47,35
43,38
45,38
64,40
60,41
50,40
58,34
64,39
45,29
39,23
50,24
55,30
61,37
55,31
42,24
51,25
52,40
52,33
59,32
75,46
76,50
81,50
72,44
61,39
67,50
60,43
52,44
56,39
52,33
67,32
63,44
69,38
68,47
69,46
74,53
71,54
61,46
65,40
67,38
69,45
71,50
61,42
66,34
69,48
60,50
61,47
63,44
60,39
69,40
73,56
69,55
64,49
64,48
57,46
79,41
55,47
54,41
48,34
52,34
58,32
58,44
46,41
51,42
53,46
71,46
74,45
74,54
76,53
75,54
79,50
82,53
65,59
82,57
88,73
95,72
89,66
80,60
81,56
85,61
91,64
81,59
78,51
82,62
73,58
78,52
83,63
70,59
78,57
75,56
70,60
73,59
66,57
76,60
62,54
67,59
69,61
76,61
80,60
89,66
86,64
76,64
82,61
79,69
91,67
80,64
82,60
86,65
84,66
84,68
75,63
74,58
79,57
86,63
88,68
92,74
85,73
85,70
88,70
87,68
85,63
87,67
86,69
83,66
79,61
85,63
93,71
85,65
90,70
92,67
84,68
80,64
86,65
88,66
77,68
86,68
83,64
83,64
86,67
94,72
83,67
82,65
74,67
86,68
87,70
86,76
95,74
90,71
82,66
85,63
89,68
96,75
95,76
90,71
93,72
92,72
88,68
86,65
77,63
79,58
78,58
78,66
80,71
86,74
85,69
88,65
88,72
78,63
73,58
79,56
88,63
89,67
94,68
92,77
86,68
77,60
73,59
61,51
69,48
73,50
71,59
63,52
69,46
65,52
71,58
73,56
79,54
74,54
68,53
66,52
56,50
64,53
60,45
64,50
80,52
77,53
65,48
74,57
61,50
61,45
65,41
75,45
66,54
74,52
72,49
70,47
56,41
59,38
65,41
74,45
71,54
74,46
87,57
83,58
81,54
80,54
72,52
66,47
69,45
61,43
66,46
59,40
56,39
60,40
68,43
53,40
68,36
65,52
61,53
61,52
63,42
42,35
42,30
53,28
52,35
49,30
52,31
56,34
56,44
46,33
45,27
57,31
61,36
63,43
69,43
68,45
52,37
43,36
36,33
35,33
39,27
35,30
37,30
31,27
39,23
29,18
34,27
31,14
24,12
33,20
27,6
26,11
28,10
45,27
41,36
36,18
20,15
20,11
20,10
25,11
18,4
21,14
17,8
18,3
34,11
28,16
22,8
8,-1
6,-8
10,-6
17,4
20,12
15,8
17,8
15,3
26,10
31,20
32,27
27,23
26,18
20,16
24,7
21,7
34,14
37,25
42,17
24,7
9,1
17,0
21,8
9,-5
25,3
18,7
15,8
12,1
16,-4
22,12
23,18
21,2
16,0
18,14
16,2
15,4
25,15
19,7
13,-3
9,-11
3,-16
6,-3
13,-8
27,11
20,13
25,15
27,22
31,23
32,15
23,14
21,14
15,5
12,-4
19,-2
34,10
27,14
29,23
23,0
3,-10
8,-7
12,-11
32,-6
38,18
48,29
39,32
42,32
52,28
46,30
30,15
29,10
27,24
24,16
27,6
34,25
29,15
15,0
8,-2
28,2
25,2
41,5
17,-3
32,14
30,23
29,17
30,11
30,24
39,27
36,30
33,22
43,20
31,16
30,15
38,14
44,30
52,29
53,38
40,28
50,24
44,37
46,35
39,33
33,18
33,13
33,18
30,16
34,16
36,18
42,21
44,21
48,35
47,35
54,31
56,43
48,34
56,30
58,39
64,36
64,41
58,48
76,46
63,43
68,42
62,44
48,35
49,33
41,32
49,32
50,35
45,35
46,32
50,32
45,39
48,39
62,36
65,39
57,38
44,35
56,35
65,36
60,43
43,33
40,33
59,32
66,37
63,46
70,45
72,53
65,53
70,54
88,56
78,61
65,51
56,46
52,44
64,44
69,40
68,44
73,49
71,58
73,59
73,61
69,58
75,59
67,56
64,50
64,45
63,47
70,50
68,54
88,62
77,59
76,55
80,60
91,68
84,64
84,62
97,70
103,78
83,58
68,52
62,53
69,52
68,52
77,55
80,61
74,58
80,62
84,60
72,67
79,63
77,62
79,65
70,53
63,53
78,52
68,61
79,61
77,61
79,58
86,62
95,72
99,71
85,67
86,64
90,68
88,70
87,64
87,69
91,71
88,76
92,69
88,69
78,65
77,61
74,64
77,71
87,71
93,79
98,80
97,74
96,80
