Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
6,-9,T,T,9
1,-15,0,0,9
7,-14,0,0,9
7,-10,0,0,9
10,-9,0,0,9
16,-4,0,0,9
16,4,0.06,2.2,11
8,-6,0,0,11
6,-14,0,0,11
15,-6,0,0,11
22,8,T,T,10
22,2,T,T,10
28,19,T,T,10
31,15,0,0,10
28,12,0,0,10
35,15,0,0,10
34,20,0,0,10
34,13,0,0,9
23,13,T,T,9
28,19,T,T,9
30,25,0.05,T,9
33,28,0.02,0,9
36,32,0.23,T,9
35,32,0.04,T,7
34,16,0.05,0.9,6
16,3,T,T,7
11,2,T,T,7
7,-2,T,T,7
9,-5,0,0,7
17,1,0,0,7
16,3,0,0,7
16,8,0.11,2.6,7
21,8,0.02,0.5,10
21,1,0,0,10
29,19,0.07,1,10
33,28,0.12,1.3,12
28,19,0,0,11
24,15,0.05,0.8,11
25,22,0.23,4.7,12
26,15,0.03,0.4,15
24,3,0,0,16
25,0,0,0,15
25,3,T,T,15
23,10,T,0.2,15
24,5,0.09,1.6,15
30,22,0.03,0.7,17
34,17,0,0,17
35,16,0,0,16
37,10,0,0,15
31,7,0,0,14
35,18,T,T,13
31,13,0,0,13
32,14,0,0,13
23,9,T,0.1,13
20,1,0,0,13
26,3,0,0,12
32,5,0,0,12
38,9,0,0,12
38,16,0,0,12
38,19,0,0,12
42,19,0,0,11
41,20,0,0,10
39,20,0,0,10
42,23,0,0,9
41,24,T,0,8
47,35,0.02,0,6
37,34,T,0,4
39,33,0.04,0,4
42,35,0.27,0,2
47,35,0.25,0,T
43,38,0.03,0,T
45,38,0,0,T
64,40,0,0,0
60,41,0,0,0
50,40,0.08,0,0
58,34,0,0,0
64,39,0,0,0
45,29,0,0,0
39,23,0,0,0
50,24,0,0,0
55,30,0,0,0
61,37,0,0,0
55,31,0,0,0
42,24,0,0,0
51,25,0,0,0
52,40,0,0,0
52,33,0,0,0
59,32,0,0,0
75,46,0,0,0
76,50,0,0,0
81,50,0,0,0
72,44,0.06,0,0
61,39,0,0,0
67,50,T,0,0
60,43,0.01,0,0
52,44,0.28,0,0
56,39,0,0,0
52,33,0,0,0
67,32,0,0,0
63,44,0,0,0
69,38,0,0,0
68,47,0,0,0
69,46,0.73,0,0
74,53,0.07,0,0
71,54,0.56,0,0
61,46,0,0,0
65,40,0,0,0
67,38,0,0,0
69,45,0,0,0
71,50,0,0,0
61,42,0,0,0
66,34,0,0,0
69,48,T,0,0
60,50,0.5,0,0
61,47,0.04,0,0
63,44,0,0,0
60,39,0,0,0
69,40,0,0,0
73,56,T,0,0
69,55,0.07,0,0
64,49,0,0,0
64,48,0,0,0
57,46,0.05,0,0
79,41,T,0,0
55,47,T,0,0
54,41,0.04,0,0
48,34,0.55,T,0
52,34,T,T,0
58,32,0,0,0
58,44,0.19,0,0
46,41,0.47,0,0
51,42,0.04,0,0
53,46,0.61,0,0
71,46,0,0,0
74,45,0,0,0
74,54,0,0,0
76,53,0,0,0
75,54,0,0,0
79,50,0,0,0
82,53,0,0,0
65,59,0.02,0,0
82,57,0.12,0,0
88,73,0,0,0
95,72,0,0,0
89,66,0.38,0,0
80,60,0,0,0
81,56,0,0,0
85,61,0,0,0
91,64,0,0,0
81,59,0.03,0,0
78,51,0,0,0
82,62,0.18,0,0
73,58,0.01,0,0
78,52,0.01,0,0
83,63,0.44,0,0
70,59,0.27,0,0
78,57,T,0,0
75,56,0.01,0,0
70,60,0.84,0,0
73,59,0,0,0
66,57,T,0,0
76,60,0.79,0,0
62,54,0.15,0,0
67,59,0,0,0
69,61,0.26,0,0
76,61,0.01,0,0
80,60,0,0,0
89,66,0.01,0,0
86,64,0,0,0
76,64,0,0,0
82,61,0,0,0
79,69,0.07,0,0
91,67,0,0,0
80,64,0.32,0,0
82,60,0,0,0
86,65,0.73,T,0
84,66,2.15,0,0
84,68,0,0,0
75,63,0,0,0
74,58,0,0,0
79,57,0,0,0
86,63,0,0,0
88,68,0,0,0
92,74,0,0,0
85,73,0.1,0,0
85,70,0.8,0,0
88,70,0,0,0
87,68,0.22,0,0
85,63,0,0,0
87,67,0,0,0
86,69,0.08,0,0
83,66,0.17,0,0
79,61,0,0,0
85,63,0,0,0
93,71,0.27,0,0
85,65,0,0,0
90,70,0,0,0
92,67,0.28,0,0
84,68,0,0,0
80,64,0,0,0
86,65,0,0,0
88,66,0,0,0
77,68,0.28,0,0
86,68,T,0,0
83,64,0.51,0,0
83,64,0,0,0
86,67,0,0,0
94,72,0.2,0,0
83,67,0,0,0
82,65,0,0,0
74,67,0.12,0,0
86,68,0,0,0
87,70,T,0,0
86,76,T,0,0
95,74,0,0,0
90,71,0,0,0
82,66,0,0,0
85,63,0,0,0
89,68,0.07,0,0
96,75,0.32,0,0
95,76,0,0,0
90,71,2.47,0,0
93,72,0,0,0
92,72,T,0,0
88,68,1.47,0,0
86,65,T,0,0
77,63,0,0,0
79,58,0,0,0
78,58,0,0,0
78,66,0,0,0
80,71,T,0,0
86,74,T,0,0
85,69,0,0,0
88,65,0,0,0
88,72,0,0,0
78,63,0.23,0,0
73,58,0,0,0
79,56,0,0,0
88,63,0,0,0
89,67,0,0,0
94,68,0,0,0
92,77,T,0,0
86,68,0.35,0,0
77,60,0,0,0
73,59,0.74,0,0
61,51,T,0,0
69,48,0,0,0
73,50,0,0,0
71,59,0.13,0,0
63,52,T,0,0
69,46,0,0,0
65,52,T,0,0
71,58,0.16,0,0
73,56,0,0,0
79,54,0,0,0
74,54,0,0,0
68,53,0,0,0
66,52,0.91,0,0
56,50,0,0,0
64,53,0.01,0,0
60,45,T,0,0
64,50,0,0,0
80,52,0.03,0,0
77,53,0.53,T,0
65,48,1.01,0,0
74,57,1.98,0,0
61,50,0,0,0
61,45,0.02,0,0
65,41,0,0,0
75,45,0,0,0
66,54,0,0,0
74,52,0,0,0
72,49,0,0,0
70,47,T,0,0
56,41,0,0,0
59,38,0,0,0
65,41,0,0,0
74,45,0,0,0
71,54,0,0,0
74,46,0,0,0
87,57,0,0,0
83,58,0,0,0
81,54,0,0,0
80,54,0,0,0
72,52,0,0,0
66,47,0,0,0
69,45,0,0,0
61,43,0,0,0
66,46,0,0,0
59,40,T,0,0
56,39,T,0,0
60,40,0,0,0
68,43,0,0,0
53,40,0,0,0
68,36,0,0,0
65,52,0.01,0,0
61,53,0.51,0,0
61,52,0.67,0,0
63,42,0.37,0,0
42,35,0.05,T,0
42,30,0,0,0
53,28,0,0,0
52,35,0,0,0
49,30,0,0,0
52,31,0,0,0
56,34,0,0,0
56,44,0,0,0
46,33,0,0,0
45,27,0,0,0
57,31,0,0,0
61,36,0,0,0
63,43,0,0,0
69,43,0,0,0
68,45,0.17,0,0
52,37,0,0,0
43,36,0.03,T,0
36,33,0.98,7.7,1
35,33,0.06,0.3,4
39,27,0,0,3
35,30,0.02,0.1,3
37,30,0,0,2
31,27,T,T,2
39,23,0,0,1
29,18,0.02,0,T
34,27,0.03,0,T
31,14,0.02,0.1,T
24,12,0,0,T
33,20,0.12,1.1,T
27,6,T,T,1
26,11,0,0,1
28,10,0,0,1
45,27,0,0,1
41,36,0.59,0,T
36,18,0.03,0.5,T
20,15,T,T,1
20,11,T,T,1
20,10,0.43,5.1,1
25,11,0.09,1,6
18,4,0.01,0.5,6
21,14,T,0.3,6
17,8,0,0,6
18,3,T,T,6
34,11,0.01,0.2,6
28,16,0.05,0.8,5
22,8,1.16,16.3,9
8,-1,0,0,18
6,-8,0,0,17
10,-6,0,0,17
17,4,0,0,16
20,12,T,T,16
15,8,T,T,15
17,8,T,T,14
15,3,0,0,14
26,10,0.36,4.6,14
31,20,0.05,T,16
32,27,T,T,16
27,23,0.15,2.3,16
26,18,0.18,2.3,19
20,16,T,T,19
24,7,T,T,19
21,7,T,T,18
34,14,0,0,17
37,25,T,0,16
42,17,0.27,0,13
24,7,0.03,0.2,10
9,1,T,T,9
17,0,T,0.1,9
21,8,0.03,1.1,9
9,-5,T,T,10
25,3,0.04,0.4,10
18,7,T,T,10
15,8,0.01,0.3,10
12,1,T,T,10
16,-4,T,T,10
22,12,0.16,1.5,8
23,18,0.1,1.2,10
21,2,0,0,11
16,0,0.08,1.9,10
18,14,0.17,2.5,12
16,2,0,0,13
15,4,0.01,0.2,13
25,15,0.07,1.3,14
19,7,T,T,12
13,-3,0.01,0.2,12
9,-11,0.01,0.1,12
3,-16,0.01,1.1,12
6,-3,T,0.1,12
13,-8,0,0,12
27,11,0.01,0.1,12
20,13,T,T,12
25,15,T,T,12
27,22,0.01,0.2,11
31,23,0,0,11
32,15,T,T,11
23,14,0.03,0.5,10
21,14,0.25,4.2,12
15,5,T,T,14
12,-4,0,0,13
19,-2,0,0,13
34,10,0,0,13
27,14,0.01,0.2,12
29,23,0.01,0.3,12
23,0,T,T,12
3,-10,0,0,12
8,-7,0,0,11
12,-11,0,0,11
32,-6,0.01,0.2,11
38,18,0,0,11
48,29,0,0,10
39,32,0,0,6
42,32,0,0,5
52,28,T,0,5
46,30,0.01,0,4
30,15,0,0,2
29,10,0,0,2
27,24,0.85,11.8,2
24,16,0.11,2,14
27,6,T,T,15
34,25,T,T,13
29,15,0,0,11
15,0,0.02,0.3,11
8,-2,0.1,1.3,11
28,2,T,T,12
25,2,0,0,11
41,5,0,0,11
17,-3,0,0,10
32,14,0.01,0.1,9
30,23,0,0,9
29,17,0,0,9
30,11,0.12,1.7,8
30,24,0.03,0.4,10
39,27,T,T,10
36,30,0.09,1,10
33,22,0,0,9
43,20,0.04,0.5,9
31,16,T,T,7
30,15,T,T,7
38,14,0,0,6
44,30,0.04,0,6
52,29,0,0,5
53,38,0,0,1
40,28,0,0,T
50,24,0.04,T,T
44,37,0.1,0,0
46,35,0,0,0
39,33,1.14,0.4,0
33,18,0.34,4.1,2
